"","Suburb","Rooms","Type","Price","Method","SellerG","Date","Distance","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"62","Abbotsford",2,"h",1012500,"S","Nelson","28/05/2016",2.5,1,0,182,82,1900,"Yarra City Council",-37.8021,144.9976,"Northern Metropolitan","4019"
"64","Abbotsford",2,"h",1030000,"S","Biggin","30/07/2016",2.5,1,1,172,81,1930,"Yarra City Council",-37.8086,144.9946,"Northern Metropolitan","4019"
"67","Airport West",3,"t",840000,"PI","Nelson","3/09/2016",13.5,2,1,303,225,2016,"Moonee Valley City Council",-37.718,144.878,"Western Metropolitan","3464"
"68","Airport West",3,"h",730000,"VB","Nelson","3/12/2016",13.5,2,1,478,145,1965,"Moonee Valley City Council",-37.7203,144.8755,"Western Metropolitan","3464"
"69","Airport West",3,"h",770000,"SP","Nelson","4/03/2017",13.5,2,1,478,145,1965,"Moonee Valley City Council",-37.7203,144.8755,"Western Metropolitan","3464"
"71","Airport West",2,"h",603000,"S","Nelson","4/03/2017",13.5,1,1,272,84,1950,"Moonee Valley City Council",-37.7294,144.888,"Western Metropolitan","3464"
"72","Airport West",3,"t",7e+05,"S","Brad","4/03/2017",13.5,2,2,239,134,2009,"Moonee Valley City Council",-37.7218,144.8837,"Western Metropolitan","3464"
"73","Airport West",3,"h",6e+05,"S","Maddison","4/03/2017",13.5,1,1,290,116,1980,"Moonee Valley City Council",-37.7273,144.8744,"Western Metropolitan","3464"
"74","Airport West",2,"u",5e+05,"VB","Barry","4/03/2017",13.5,1,1,168,86,2011,"Moonee Valley City Council",-37.7215,144.8864,"Western Metropolitan","3464"
"82","Airport West",6,"h",725000,"SP","Barry","7/05/2016",13.5,3,2,976,186,1980,"Moonee Valley City Council",-37.7239,144.8735,"Western Metropolitan","3464"
"83","Airport West",2,"t",450000,"S","Barry","7/05/2016",13.5,1,1,110,90,2015,"Moonee Valley City Council",-37.7216,144.871,"Western Metropolitan","3464"
"84","Airport West",2,"u",515000,"S","Barry","7/11/2016",13.5,1,1,141,73,2013,"Moonee Valley City Council",-37.7298,144.8883,"Western Metropolitan","3464"
"86","Airport West",2,"u",530000,"S","Nelson","10/09/2016",13.5,1,1,120,94,2012,"Moonee Valley City Council",-37.7234,144.8792,"Western Metropolitan","3464"
"87","Airport West",3,"h",895000,"PI","Rendina","10/09/2016",13.5,1,6,1063,133,1975,"Moonee Valley City Council",-37.7249,144.8728,"Western Metropolitan","3464"
"89","Airport West",3,"h",805000,"S","Nelson","10/12/2016",13.5,1,1,478,105,1950,"Moonee Valley City Council",-37.7217,144.8783,"Western Metropolitan","3464"
"91","Airport West",3,"u",752000,"S","Nelson","11/02/2017",13.5,1,1,265,130,1993,"Moonee Valley City Council",-37.7302,144.8855,"Western Metropolitan","3464"
"99","Airport West",3,"t",7e+05,"PI","Brad","15/10/2016",13.5,2,2,165,133,2009,"Moonee Valley City Council",-37.727,144.887,"Western Metropolitan","3464"
"101","Airport West",3,"h",830000,"S","Barry","16/04/2016",13.5,1,2,971,113,1960,"Moonee Valley City Council",-37.7186,144.876,"Western Metropolitan","3464"
"104","Airport West",2,"h",675000,"S","Barry","16/07/2016",13.5,1,1,612,100,1975,"Moonee Valley City Council",-37.7187,144.8765,"Western Metropolitan","3464"
"105","Airport West",3,"h",1042000,"S","Nelson","16/07/2016",13.5,2,5,612,174,1950,"Moonee Valley City Council",-37.7173,144.8796,"Western Metropolitan","3464"
"107","Airport West",4,"h",773000,"S","Brad","17/09/2016",13.5,3,4,531,309,1980,"Moonee Valley City Council",-37.7263,144.8679,"Western Metropolitan","3464"
"109","Airport West",3,"h",810000,"PI","Barry","18/03/2017",13.5,3,2,555,192,1980,"Moonee Valley City Council",-37.7285,144.8694,"Western Metropolitan","3464"
"110","Airport West",3,"h",715000,"S","Rendina","18/03/2017",13.5,2,2,422,126,1995,"Moonee Valley City Council",-37.7164,144.8792,"Western Metropolitan","3464"
"113","Airport West",3,"t",540000,"SP","Nelson","18/06/2016",13.5,2,1,161,101,2010,"Moonee Valley City Council",-37.7231,144.8802,"Western Metropolitan","3464"
"114","Airport West",3,"t",825000,"SP","Barry","19/11/2016",13.5,2,1,293,102,1960,"Moonee Valley City Council",-37.72,144.8776,"Western Metropolitan","3464"
"115","Airport West",3,"h",685000,"S","Barry","22/05/2016",13.5,1,1,579,113,1975,"Moonee Valley City Council",-37.7226,144.8733,"Western Metropolitan","3464"
"130","Airport West",4,"h",9e+05,"S","Harcourts","27/11/2016",13.5,2,3,628,146,1975,"Moonee Valley City Council",-37.7256,144.8739,"Western Metropolitan","3464"
"134","Albert Park",2,"h",1275000,"S","hockingstuart","3/09/2016",3.3,1,0,120,82,1900,"Port Phillip City Council",-37.8459,144.9555,"Southern Metropolitan","3280"
"136","Albert Park",3,"h",2850000,"PI","Buxton","4/03/2017",3.3,2,0,211,198,1890,"Port Phillip City Council",-37.8481,144.9499,"Southern Metropolitan","3280"
"137","Albert Park",3,"h",1850000,"S","Greg","4/03/2017",3.3,2,0,128,133,1890,"Port Phillip City Council",-37.8452,144.9488,"Southern Metropolitan","3280"
"139","Albert Park",2,"h",1436000,"S","RT","4/03/2017",3.3,1,0,130,81,1900,"Port Phillip City Council",-37.8431,144.9565,"Southern Metropolitan","3280"
"143","Albert Park",4,"h",2300000,"S","Marshall","7/05/2016",3.3,2,1,153,180,1880,"Port Phillip City Council",-37.8447,144.9523,"Southern Metropolitan","3280"
"146","Albert Park",3,"h",1800000,"VB","Greg","7/11/2016",3.3,2,1,132,159,1996,"Port Phillip City Council",-37.8415,144.952,"Southern Metropolitan","3280"
"148","Albert Park",2,"h",2120000,"S","Greg","10/09/2016",3.3,1,1,199,107,1900,"Port Phillip City Council",-37.8422,144.9554,"Southern Metropolitan","3280"
"150","Albert Park",3,"h",1800000,"S","Marshall","10/09/2016",3.3,2,1,90,122,1900,"Port Phillip City Council",-37.8421,144.9571,"Southern Metropolitan","3280"
"153","Albert Park",3,"h",2615000,"S","Cayzer","10/12/2016",3.3,2,1,177,181,1880,"Port Phillip City Council",-37.8415,144.9585,"Southern Metropolitan","3280"
"156","Albert Park",3,"h",1370000,"S","Greg","12/06/2016",3.3,2,2,478,85,2000,"Port Phillip City Council",-37.8451,144.9511,"Southern Metropolitan","3280"
"160","Albert Park",2,"h",1322500,"S","Greg","15/10/2016",3.3,1,0,149,98,1890,"Port Phillip City Council",-37.8443,144.9481,"Southern Metropolitan","3280"
"162","Albert Park",2,"h",1562500,"S","Greg","15/10/2016",3.3,1,0,141,83,1890,"Port Phillip City Council",-37.8424,144.9562,"Southern Metropolitan","3280"
"163","Albert Park",3,"h",2e+06,"VB","RT","16/04/2016",3.3,2,1,211,147,1900,"Port Phillip City Council",-37.847,144.9575,"Southern Metropolitan","3280"
"167","Albert Park",3,"h",3010000,"S","Greg","18/03/2017",3.3,2,0,147,146,1890,"Port Phillip City Council",-37.8473,144.9551,"Southern Metropolitan","3280"
"169","Albert Park",4,"h",2800000,"VB","Cayzer","18/06/2016",3.3,3,1,327,254,1910,"Port Phillip City Council",-37.8467,144.9475,"Southern Metropolitan","3280"
"173","Albert Park",3,"h",2100000,"SP","Marshall","23/04/2016",3.3,1,1,120,123,1900,"Port Phillip City Council",-37.8427,144.9546,"Southern Metropolitan","3280"
"177","Albert Park",3,"h",2e+06,"PI","Marshall","24/09/2016",3.3,1,1,238,131,1890,"Port Phillip City Council",-37.8461,144.9528,"Southern Metropolitan","3280"
"178","Albert Park",1,"u",442500,"S","Marshall","25/02/2017",3.3,1,0,478,34,1970,"Port Phillip City Council",-37.8421,144.9517,"Southern Metropolitan","3280"
"179","Albert Park",4,"h",4735000,"S","Marshall","25/02/2017",3.3,2,1,330,207,1910,"Port Phillip City Council",-37.8477,144.9558,"Southern Metropolitan","3280"
"184","Albert Park",4,"h",2140000,"S","Greg","27/06/2016",3.3,2,1,183,145,1880,"Port Phillip City Council",-37.8434,144.9495,"Southern Metropolitan","3280"
"187","Albert Park",2,"h",980000,"S","Greg","28/05/2016",3.3,1,0,79,68,1890,"Port Phillip City Council",-37.8387,144.9519,"Southern Metropolitan","3280"
"192","Albert Park",3,"h",1740000,"PI","Marshall","28/08/2016",3.3,2,2,147,134,1890,"Port Phillip City Council",-37.8448,144.9453,"Southern Metropolitan","3280"
"194","Albert Park",1,"h",985000,"S","Marshall","30/07/2016",3.3,1,0,81,54,1900,"Port Phillip City Council",-37.8411,144.9497,"Southern Metropolitan","3280"
"196","Alphington",4,"h",2e+06,"S","Brace","3/09/2016",6.4,2,4,853,263,1930,"Darebin City Council",-37.7707,145.0318,"Northern Metropolitan","2211"
"202","Alphington",4,"h",1717500,"S","Collins","8/10/2016",6.4,2,1,599,203,1925,"Darebin City Council",-37.7717,145.031,"Northern Metropolitan","2211"
"203","Alphington",5,"h",2840000,"S","Nelson","12/06/2016",6.4,4,4,809,165,1910,"Darebin City Council",-37.775,145.0268,"Northern Metropolitan","2211"
"205","Alphington",2,"u",525500,"S","Miles","12/11/2016",6.4,1,1,88,60,1960,"Darebin City Council",-37.7791,145.0306,"Northern Metropolitan","2211"
"206","Alphington",2,"t",805000,"S","Miles","12/11/2016",6.4,2,3,155,140,2004,"Darebin City Council",-37.7804,145.0308,"Northern Metropolitan","2211"
"215","Alphington",4,"h",1830000,"S","Nelson","19/11/2016",6.4,2,2,606,112,1970,"Darebin City Council",-37.7743,145.0316,"Northern Metropolitan","2211"
"216","Alphington",4,"h",2100000,"S","Nelson","19/11/2016",6.4,2,2,575,271,2008,"Darebin City Council",-37.7723,145.0319,"Northern Metropolitan","2211"
"217","Alphington",3,"h",865000,"SP","hockingstuart","22/05/2016",6.4,1,1,180,131,2010,"Darebin City Council",-37.7802,145.0243,"Northern Metropolitan","2211"
"218","Alphington",2,"u",390000,"VB","Nelson","22/05/2016",6.4,1,1,478,60,1960,"Darebin City Council",-37.7773,145.0314,"Northern Metropolitan","2211"
"220","Alphington",2,"u",512000,"S","Love","25/02/2017",6.4,1,1,478,61,1965,"Darebin City Council",-37.7805,145.0262,"Northern Metropolitan","2211"
"227","Alphington",4,"h",1900000,"SP","McGrath","27/11/2016",6.4,2,2,556,272,1930,"Darebin City Council",-37.7844,145.0225,"Northern Metropolitan","2211"
"230","Alphington",4,"h",1950000,"S","Jellis","30/07/2016",6.4,2,3,589,210,1920,"Darebin City Council",-37.7719,145.0309,"Northern Metropolitan","2211"
"231","Altona",3,"h",520000,"VB","Greg","3/09/2016",13.8,2,1,352,242,2015,"Hobsons Bay City Council",-37.87,144.825,"Western Metropolitan","5301"
"232","Altona",5,"h",1525000,"S","Greg","3/12/2016",13.8,3,3,729,268,2005,"Hobsons Bay City Council",-37.8721,144.8105,"Western Metropolitan","5301"
"233","Altona",2,"t",720000,"S","hockingstuart","4/02/2016",13.8,1,2,292,125,2013,"Hobsons Bay City Council",-37.8687,144.8197,"Western Metropolitan","5301"
"234","Altona",3,"h",1120000,"S","Barlow","4/03/2017",13.8,1,2,506,120,1930,"Hobsons Bay City Council",-37.8693,144.8375,"Western Metropolitan","5301"
"236","Altona",4,"h",1780000,"SP","Greg","4/06/2016",13.8,3,6,1057,220,1962,"Hobsons Bay City Council",-37.8681,144.819,"Western Metropolitan","5301"
"237","Altona",3,"u",630000,"S","Barlow","6/08/2016",13.8,1,2,311,94,1955,"Hobsons Bay City Council",-37.8702,144.8143,"Western Metropolitan","5301"
"239","Altona",3,"h",660000,"VB","Greg","7/05/2016",13.8,1,1,602,123,1955,"Hobsons Bay City Council",-37.8616,144.8116,"Western Metropolitan","5301"
"242","Altona",2,"u",580000,"S","Barlow","8/10/2016",13.8,1,1,225,93,1988,"Hobsons Bay City Council",-37.8696,144.827,"Western Metropolitan","5301"
"243","Altona",3,"h",1335000,"S","hockingstuart","8/10/2016",13.8,1,4,777,22,1953,"Hobsons Bay City Council",-37.8697,144.8249,"Western Metropolitan","5301"
"245","Altona",2,"u",510000,"S","Village","10/09/2016",13.8,1,1,127,76,1990,"Hobsons Bay City Council",-37.8686,144.8182,"Western Metropolitan","5301"
"247","Altona",2,"u",425000,"S","hockingstuart","10/09/2016",13.8,1,2,115,57,1980,"Hobsons Bay City Council",-37.871,144.8185,"Western Metropolitan","5301"
"250","Altona",2,"u",391000,"SP","Greg","11/02/2017",13.8,1,1,478,65,1965,"Hobsons Bay City Council",-37.8678,144.8384,"Western Metropolitan","5301"
"252","Altona",4,"h",845000,"S","hockingstuart","11/02/2017",13.8,1,2,745,130,1950,"Hobsons Bay City Council",-37.8658,144.8155,"Western Metropolitan","5301"
"256","Altona",3,"u",730000,"SP","Barlow","13/08/2016",13.8,2,1,69,141,2014,"Hobsons Bay City Council",-37.868,144.8286,"Western Metropolitan","5301"
"260","Altona",2,"u",447000,"S","Burnham","15/10/2016",13.8,1,1,137,77,1990,"Hobsons Bay City Council",-37.8655,144.8299,"Western Metropolitan","5301"
"262","Altona",3,"h",678000,"S","hockingstuart","16/04/2016",13.8,1,2,606,87,1950,"Hobsons Bay City Council",-37.8608,144.8124,"Western Metropolitan","5301"
"263","Altona",2,"u",580000,"PI","Biggin","16/07/2016",13.8,2,1,175,76,2013,"Hobsons Bay City Council",-37.8687,144.8268,"Western Metropolitan","5301"
"265","Altona",3,"h",840000,"SP","Greg","18/03/2017",13.8,2,2,534,136,1965,"Hobsons Bay City Council",-37.86,144.8245,"Western Metropolitan","5301"
"270","Altona",3,"u",577000,"S","Williams","23/04/2016",13.8,2,1,205,113,2007,"Hobsons Bay City Council",-37.8684,144.815,"Western Metropolitan","5301"
"277","Altona",2,"h",857000,"SP","hockingstuart","27/11/2016",13.8,2,1,675,100,1950,"Hobsons Bay City Council",-37.8653,144.8129,"Western Metropolitan","5301"
"279","Altona",3,"u",730000,"SP","Barlow","28/05/2016",13.8,2,1,70,3,2014,"Hobsons Bay City Council",-37.868,144.8285,"Western Metropolitan","5301"
"283","Altona",2,"h",535600,"SP","Compton","30/07/2016",13.8,1,1,154,91,1996,"Hobsons Bay City Council",-37.8646,144.8272,"Western Metropolitan","5301"
"285","Altona North",5,"h",1085000,"S","FN","3/09/2016",11.1,3,6,592,251,1965,"Hobsons Bay City Council",-37.8388,144.8567,"Western Metropolitan","5132"
"286","Altona North",3,"h",781000,"S","Jas","3/09/2016",11.1,1,2,533,117,1970,"Hobsons Bay City Council",-37.8291,144.835,"Western Metropolitan","5132"
"290","Altona North",2,"t",421000,"S","hockingstuart","4/03/2017",11.1,1,1,77,77,2009,"Hobsons Bay City Council",-37.8351,144.8529,"Western Metropolitan","5132"
"293","Altona North",3,"h",683000,"S","FN","4/06/2016",11.1,1,2,534,167,1967,"Hobsons Bay City Council",-37.8284,144.8355,"Western Metropolitan","5132"
"296","Altona North",3,"h",720000,"VB","Greg","6/08/2016",11.1,2,1,478,130,2012,"Hobsons Bay City Council",-37.8379,144.8583,"Western Metropolitan","5132"
"300","Altona North",3,"h",588000,"S","Williams","7/05/2016",11.1,1,1,328,118,1970,"Hobsons Bay City Council",-37.838,144.8555,"Western Metropolitan","5132"
"302","Altona North",3,"h",710000,"PI","Village","7/11/2016",11.1,1,3,540,116,1960,"Hobsons Bay City Council",-37.8294,144.8378,"Western Metropolitan","5132"
"307","Altona North",4,"h",875000,"SP","Jas","8/10/2016",11.1,1,4,559,169,1965,"Hobsons Bay City Council",-37.8448,144.8529,"Western Metropolitan","5132"
"322","Altona North",3,"h",675000,"S","hockingstuart","14/05/2016",11.1,2,2,171,109,2012,"Hobsons Bay City Council",-37.8337,144.8554,"Western Metropolitan","5132"
"323","Altona North",3,"h",708000,"S","Greg","15/10/2016",11.1,1,2,585,97,1960,"Hobsons Bay City Council",-37.8258,144.8523,"Western Metropolitan","5132"
"340","Altona North",4,"h",693000,"SP","Raine&Horne","22/05/2016",11.1,2,4,315,170,2008,"Hobsons Bay City Council",-37.8391,144.8467,"Western Metropolitan","5132"
"341","Altona North",3,"h",620000,"SP","Hunter","22/08/2016",11.1,2,2,276,100,2010,"Hobsons Bay City Council",-37.8262,144.8443,"Western Metropolitan","5132"
"343","Altona North",3,"h",728500,"S","Jas","22/08/2016",11.1,1,1,531,157,1960,"Hobsons Bay City Council",-37.8277,144.8385,"Western Metropolitan","5132"
"344","Altona North",3,"h",931000,"S","hockingstuart","22/08/2016",11.1,2,1,590,160,1950,"Hobsons Bay City Council",-37.8382,144.8649,"Western Metropolitan","5132"
"350","Altona North",3,"h",815000,"S","hockingstuart","25/02/2017",11.1,2,3,555,130,1960,"Hobsons Bay City Council",-37.8318,144.8388,"Western Metropolitan","5132"
"357","Altona North",4,"h",1200000,"SP","RT","27/11/2016",11.1,1,4,633,158,1960,"Hobsons Bay City Council",-37.8375,144.8541,"Western Metropolitan","5132"
"362","Altona North",2,"u",292000,"S","Jas","28/08/2016",11.1,1,1,153,70,1970,"Hobsons Bay City Council",-37.8332,144.8649,"Western Metropolitan","5132"
"366","Armadale",2,"u",599000,"S","Jellis","3/09/2016",6.3,1,1,478,76,1964,"Stonnington City Council",-37.8543,145.0262,"Southern Metropolitan","4836"
"368","Armadale",3,"u",995000,"S","Marshall","3/12/2016",6.3,2,2,478,100,1998,"Stonnington City Council",-37.8552,145.016,"Southern Metropolitan","4836"
"369","Armadale",3,"t",1205000,"S","Jellis","3/12/2016",6.3,2,2,101,105,2000,"Stonnington City Council",-37.854,145.0135,"Southern Metropolitan","4836"
"372","Armadale",3,"h",1939000,"S","Jellis","3/12/2016",6.3,2,2,296,150,1889,"Stonnington City Council",-37.8614,145.0274,"Southern Metropolitan","4836"
"376","Armadale",3,"h",1870000,"S","Hodges","4/03/2017",6.3,1,1,217,116,1888,"Stonnington City Council",-37.8592,145.0182,"Southern Metropolitan","4836"
"381","Armadale",3,"t",1918000,"SP","Jellis","4/03/2017",6.3,2,2,478,165,1995,"Stonnington City Council",-37.8537,145.0267,"Southern Metropolitan","4836"
"384","Armadale",3,"h",2050000,"S","Marshall","4/03/2017",6.3,2,1,205,116,1910,"Stonnington City Council",-37.8574,145.0281,"Southern Metropolitan","4836"
"393","Armadale",3,"u",735000,"PI","Marshall","7/05/2016",6.3,2,1,2113,14,1970,"Stonnington City Council",-37.8543,145.0262,"Southern Metropolitan","4836"
"401","Armadale",1,"h",1435000,"SP","Jellis","8/10/2016",6.3,2,1,144,107,1900,"Stonnington City Council",-37.8564,145.0228,"Southern Metropolitan","4836"
"403","Armadale",1,"u",280000,"PI","hockingstuart","10/09/2016",6.3,1,1,478,38,1975,"Stonnington City Council",-37.8619,145.0185,"Southern Metropolitan","4836"
"408","Armadale",2,"u",592500,"S","hockingstuart","10/12/2016",6.3,1,1,478,73,1970,"Stonnington City Council",-37.8574,145.0174,"Southern Metropolitan","4836"
"410","Armadale",2,"h",1210000,"S","Marshall","12/11/2016",6.3,1,0,249,96,1910,"Stonnington City Council",-37.8543,145.016,"Southern Metropolitan","4836"
"411","Armadale",4,"h",2801000,"S","Marshall","12/11/2016",6.3,2,2,624,222,1900,"Stonnington City Council",-37.8536,145.0173,"Southern Metropolitan","4836"
"417","Armadale",3,"h",1800000,"PI","RT","15/10/2016",6.3,2,2,405,121,1910,"Stonnington City Council",-37.8545,145.0145,"Southern Metropolitan","4836"
"419","Armadale",4,"h",2200000,"PI","Jellis","15/10/2016",6.3,1,2,495,163,1900,"Stonnington City Council",-37.8613,145.0264,"Southern Metropolitan","4836"
"427","Armadale",6,"h",5525000,"S","Marshall","17/09/2016",6.3,3,4,1491,516,1935,"Stonnington City Council",-37.8602,145.013,"Southern Metropolitan","4836"
"433","Armadale",1,"u",440000,"SP","Jellis","18/03/2017",6.3,1,1,478,53,1970,"Stonnington City Council",-37.8531,145.0115,"Southern Metropolitan","4836"
"439","Armadale",3,"h",1300000,"VB","Jellis","18/06/2016",6.3,1,2,212,106,1900,"Stonnington City Council",-37.8542,145.0149,"Southern Metropolitan","4836"
"442","Armadale",2,"u",704000,"SP","Greg","19/11/2016",6.3,1,1,478,74,1969,"Stonnington City Council",-37.8573,145.0186,"Southern Metropolitan","4836"
"445","Armadale",2,"u",620000,"VB","Marshall","19/11/2016",6.3,1,1,478,98,1970,"Stonnington City Council",-37.8596,145.0198,"Southern Metropolitan","4836"
"446","Armadale",3,"h",1900000,"S","Marshall","22/05/2016",6.3,1,2,328,108,1900,"Stonnington City Council",-37.8559,145.0158,"Southern Metropolitan","4836"
"454","Armadale",2,"u",710000,"S","Jellis","25/02/2017",6.3,1,1,2471,80,1970,"Stonnington City Council",-37.8573,145.0186,"Southern Metropolitan","4836"
"456","Armadale",2,"u",598000,"S","hockingstuart","25/02/2017",6.3,1,1,478,88,1970,"Stonnington City Council",-37.8593,145.0156,"Southern Metropolitan","4836"
"458","Armadale",3,"h",1285000,"S","Marshall","25/02/2017",6.3,1,2,186,80,1920,"Stonnington City Council",-37.8554,145.0173,"Southern Metropolitan","4836"
"462","Armadale",2,"u",520000,"S","hockingstuart","27/06/2016",6.3,1,1,478,76,1970,"Stonnington City Council",-37.8618,145.0183,"Southern Metropolitan","4836"
"466","Armadale",4,"h",3625000,"S","Jellis","27/11/2016",6.3,1,2,709,251,1900,"Stonnington City Council",-37.8574,145.016,"Southern Metropolitan","4836"
"467","Armadale",4,"h",4200000,"VB","Kay","27/11/2016",6.3,3,3,563,333,2000,"Stonnington City Council",-37.8582,145.0138,"Southern Metropolitan","4836"
"468","Armadale",3,"t",1101000,"S","Jellis","27/11/2016",6.3,1,2,103,3,2000,"Stonnington City Council",-37.8542,145.0135,"Southern Metropolitan","4836"
"469","Armadale",3,"h",3512500,"S","Marshall","27/11/2016",6.3,2,2,617,285,1998,"Stonnington City Council",-37.8557,145.0264,"Southern Metropolitan","4836"
"474","Armadale",3,"u",869000,"S","Jellis","28/05/2016",6.3,1,1,478,91,1940,"Stonnington City Council",-37.853,145.0264,"Southern Metropolitan","4836"
"481","Armadale",1,"u",567000,"S","hockingstuart","28/08/2016",6.3,1,1,478,53,2013,"Stonnington City Council",-37.8549,145.0113,"Southern Metropolitan","4836"
"487","Ascot Vale",3,"h",940000,"S","Nelson","3/12/2016",5.9,1,2,298,108,1920,"Moonee Valley City Council",-37.7777,144.9195,"Western Metropolitan","6567"
"488","Ascot Vale",2,"u",467000,"SP","Brad","3/12/2016",5.9,1,1,478,62,1980,"Moonee Valley City Council",-37.7761,144.9201,"Western Metropolitan","6567"
"491","Ascot Vale",3,"h",1380000,"SP","Nelson","4/03/2017",5.9,2,2,277,174,1910,"Moonee Valley City Council",-37.7777,144.9221,"Western Metropolitan","6567"
"492","Ascot Vale",2,"u",490000,"VB","Jellis","4/03/2017",5.9,1,1,423,62,1970,"Moonee Valley City Council",-37.7736,144.9015,"Western Metropolitan","6567"
"493","Ascot Vale",4,"h",1850000,"S","Brad","4/03/2017",5.9,3,1,478,270,1900,"Moonee Valley City Council",-37.7729,144.9179,"Western Metropolitan","6567"
"495","Ascot Vale",3,"h",971000,"SP","Nelson","4/06/2016",5.9,2,2,285,128,1900,"Moonee Valley City Council",-37.775,144.9091,"Western Metropolitan","6567"
"496","Ascot Vale",2,"h",710000,"PI","Nelson","4/06/2016",5.9,1,1,214,77,1890,"Moonee Valley City Council",-37.7776,144.9142,"Western Metropolitan","6567"
"497","Ascot Vale",6,"h",2425000,"PI","Brad","4/06/2016",5.9,3,2,1014,435,1887,"Moonee Valley City Council",-37.7721,144.9184,"Western Metropolitan","6567"
"498","Ascot Vale",2,"h",750000,"SP","Maddison","4/06/2016",5.9,1,1,226,92,1920,"Moonee Valley City Council",-37.7745,144.9093,"Western Metropolitan","6567"
"500","Ascot Vale",2,"h",1053000,"S","Nelson","6/08/2016",5.9,1,1,269,109,1900,"Moonee Valley City Council",-37.7748,144.929,"Western Metropolitan","6567"
"501","Ascot Vale",3,"h",1377000,"S","Nelson","6/08/2016",5.9,1,1,417,168,1900,"Moonee Valley City Council",-37.7756,144.9208,"Western Metropolitan","6567"
